source_ip,destination_ip,protocol,port,domain,risk
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:6c7f:f000:202::7,TCP,443,,low
2600:6c7f:f000:202::7,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58469,,unknown
2600:1406:4c00:1a9::24e8,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58691,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:4c00:1a9::24e8,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2001:1998:f00:2::1,UDP,53,westus-0.in.applicationinsights.azure.com,low
2001:1998:f00:2::1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,62082,westus-0.in.applicationinsights.azure.com,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6b8:a::a,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a04:4e42:87::714,TCP,443,,low
2a04:4e42:87::714,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,54133,,unknown
2a02:6b8:a::a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,53861,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:801::2002,UDP,443,,low
2607:f8b0:4007:801::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,61373,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6b8::1be,TCP,443,,low
2a02:6b8::1be,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58647,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:819::200a,UDP,443,,low
2607:f8b0:4007:819::200a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,49784,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:801::200a,UDP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:818::2002,UDP,443,,low
2607:f8b0:4007:801::200a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,54921,,unknown
2607:f8b0:4007:818::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,57746,,unknown
2607:f8b0:4007:818::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,51179,,unknown
2600:1406:5e00:286::11a6,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58713,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:5e00:286::11a6,TCP,443,,low
2607:f8b0:4007:80f::2004,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58714,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:80f::2004,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1f13:d60:4f05:14cf:41b9:a88f:22aa,TCP,443,,low
2600:1f13:d60:4f05:14cf:41b9:a88f:22aa,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58804,,unknown
2607:f8b0:4007:818::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,58173,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:803::2002,UDP,443,,low
2607:f8b0:4007:803::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,60176,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:818::2001,UDP,443,,low
2607:f8b0:4007:818::2001,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,50819,,unknown
2003:8:10:2:0:a10:985f:325a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58767,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2003:8:10:2:0:a10:985f:325a,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a04:4e42:87::300,TCP,443,,low
2a04:4e42:87::300,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57649,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:809::2002,TCP,443,,low
2607:f8b0:4007:818::2001,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,49473,,unknown
2607:f8b0:4007:809::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58815,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:803::200e,TCP,443,,low
2607:f8b0:4007:803::200e,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58475,,unknown
2620:100:a005::2a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58727,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2620:100:a005::2a,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:815::2002,UDP,443,,low
2607:f8b0:4007:815::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,56898,,unknown
2607:f8b0:4007:815::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,54618,,unknown
2607:f8b0:4007:815::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,49841,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6b8::1:119,TCP,443,,low
2a02:6b8::1:119,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57326,,unknown
2607:f8b0:4007:819::200a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,64970,,unknown
2607:f8b0:4007:818::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,54152,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:814::2004,UDP,443,,low
2607:f8b0:4007:814::2004,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,54097,,unknown
2607:f8b0:4007:818::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,62624,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6b8::184,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a00:1148:db00::17,TCP,443,,low
2a00:1148:db00::17,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58843,,unknown
2a02:6b8::184,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58646,,unknown
2003:8:10:2:0:a10:985f:325a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58846,,unknown
2a02:6b8::1:119,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57344,,unknown
2607:f8b0:4007:818::2001,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,59175,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:4c00:186::24e8,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6b8::90,TCP,443,,low
2607:f8b0:4007:803::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,60003,,unknown
2a02:6b8:a::a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,53837,,unknown
2600:1406:4c00:186::24e8,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58849,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:814::200e,UDP,443,,low
2607:f8b0:4007:814::200e,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,52809,,unknown
2a02:6b8::90,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,53854,,unknown
2a02:6b8::1be,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58851,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:810::200a,TCP,443,,low
2607:f8b0:4007:810::200a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58497,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:9000:249b:5000:19:b765:7880:93a1,TCP,443,,low
2600:9000:249b:5000:19:b765:7880:93a1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57753,,unknown
2602:803:c001::200:144,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58737,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2602:803:c001::200:144,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:809::2003,TCP,443,,low
