[INFO] 2025-06-10 07:47:04,025 - [+] Capture complete: C:\Users\Dr.Yasser\Documents\Project4\BootConPythonPrject\cap_int.pcap
[WARNING] 2025-06-10 07:47:06,115 - [!] Geolocation error for 192.168.0.18 or 183.79.48.249: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:06,423 - [!] Geolocation error for 183.79.48.249 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:07,274 - [!] Geolocation error for 192.168.0.18 or 94.139.255.28: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:07,277 - [!] Geolocation error for 192.168.0.18 or 185.180.200.12: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:07,281 - [!] Geolocation error for 94.139.255.28 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:07,827 - [!] Geolocation error for 192.168.0.18 or 34.253.39.15: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:07,828 - [!] Geolocation error for 202.239.2.248 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:07,828 - [!] Geolocation error for 192.168.0.18 or 202.239.2.248: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:07,829 - [!] Geolocation error for 185.180.200.12 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:07,964 - [!] Geolocation error for 34.253.39.15 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,432 - [!] Geolocation error for 192.168.0.18 or 142.250.72.174: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,433 - [!] Geolocation error for 142.250.72.174 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,440 - [!] Geolocation error for 192.168.0.18 or 23.56.109.132: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,441 - [!] Geolocation error for 23.56.109.132 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,445 - [!] Geolocation error for 192.168.0.18 or 13.107.5.86: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,753 - [!] Geolocation error for 13.107.5.86 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,761 - [!] Geolocation error for 192.168.0.18 or 98.82.157.231: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,764 - [!] Geolocation error for 98.82.157.231 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,767 - [!] Geolocation error for 23.222.204.254 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,768 - [!] Geolocation error for 192.168.0.18 or 23.222.204.254: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,934 - [!] Geolocation error for 192.168.0.18 or 142.250.72.162: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,935 - [!] Geolocation error for 142.250.72.162 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,938 - [!] Geolocation error for 192.168.0.18 or 3.168.138.212: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,939 - [!] Geolocation error for 192.168.0.18 or 5.61.23.39: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,940 - [!] Geolocation error for 3.168.138.212 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,943 - [!] Geolocation error for 192.168.0.18 or 5.101.40.37: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:08,945 - [!] Geolocation error for 5.61.23.39 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,226 - [!] Geolocation error for 192.168.0.18 or 46.243.201.48: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,227 - [!] Geolocation error for 5.101.40.37 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,228 - [!] Geolocation error for 46.243.201.48 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,230 - [!] Geolocation error for 192.168.0.18 or 81.19.82.0: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,495 - [!] Geolocation error for 81.19.82.0 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,896 - [!] Geolocation error for 104.254.148.252 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,899 - [!] Geolocation error for 192.168.0.18 or 104.254.148.252: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,900 - [!] Geolocation error for 81.19.82.10 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,901 - [!] Geolocation error for 81.19.82.10 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,902 - [!] Geolocation error for 192.168.0.18 or 81.19.82.10: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,908 - [!] Geolocation error for 192.168.0.18 or 151.101.74.217: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,909 - [!] Geolocation error for 151.101.74.217 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,910 - [!] Geolocation error for 103.235.46.102 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,911 - [!] Geolocation error for 192.168.0.18 or 103.235.46.102: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:09,912 - [!] Geolocation error for 103.235.46.102 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:10,067 - [!] Geolocation error for 103.235.46.115 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:10,067 - [!] Geolocation error for 192.168.0.18 or 103.235.46.115: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:10,469 - [!] Geolocation error for 192.168.0.18 or 95.163.52.67: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:10,800 - [!] Geolocation error for 95.163.52.67 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:10,803 - [!] Geolocation error for 192.168.0.18 or 182.22.31.124: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:10,804 - [!] Geolocation error for 192.168.0.18 or 50.17.162.83: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:10,805 - [!] Geolocation error for 192.168.0.18 or 192.168.0.1: The address 192.168.0.1 is not in the database.
[WARNING] 2025-06-10 07:47:10,805 - [!] Geolocation error for 192.168.0.1 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:11,062 - [!] Geolocation error for 46.243.201.48 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:11,063 - [!] Geolocation error for 103.235.46.115 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:11,064 - [!] Geolocation error for 50.17.162.83 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:11,065 - [!] Geolocation error for 182.22.31.124 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:11,066 - [!] Geolocation error for 183.79.48.249 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:11,214 - [!] Geolocation error for 142.250.72.162 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:11,220 - [!] Geolocation error for 46.243.201.48 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:11,730 - [!] Geolocation error for 142.250.72.162 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:11,731 - [!] Geolocation error for 142.250.72.162 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:11,735 - [!] Geolocation error for 192.168.0.18 or 93.186.237.1: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:12,135 - [!] Geolocation error for 192.168.0.18 or 151.101.73.140: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:12,136 - [!] Geolocation error for 151.101.73.140 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:12,137 - [!] Geolocation error for 93.186.237.1 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:12,940 - [!] Geolocation error for 63.140.62.210 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:12,941 - [!] Geolocation error for 192.168.0.18 or 63.140.62.210: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:12,942 - [!] Geolocation error for 87.242.95.157 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:12,942 - [!] Geolocation error for 192.168.0.18 or 87.242.95.157: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:12,943 - [!] Geolocation error for 87.242.95.157 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:12,944 - [!] Geolocation error for 87.242.95.157 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:13,098 - [!] Geolocation error for 192.168.0.18 or 52.89.184.202: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:13,099 - [!] Geolocation error for 52.89.184.202 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:13,636 - [!] Geolocation error for 192.168.0.18 or 3.209.51.137: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:14,187 - [!] Geolocation error for 3.209.51.137 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:14,477 - [!] Geolocation error for 192.168.0.18 or 34.107.254.252: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:14,479 - [!] Geolocation error for 34.107.254.252 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:14,480 - [!] Geolocation error for 34.107.254.252 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:16,800 - [!] Geolocation error for 192.168.0.18 or 63.140.37.142: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:16,800 - [!] Geolocation error for 63.140.37.142 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:16,953 - [!] Geolocation error for 44.214.75.226 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:16,957 - [!] Geolocation error for 192.168.0.18 or 44.214.75.226: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:17,316 - [!] Geolocation error for 88.212.201.204 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:17,316 - [!] Geolocation error for 192.168.0.18 or 88.212.201.204: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:17,317 - [!] Geolocation error for 192.168.0.10 or 192.168.0.255: The address 192.168.0.255 is not in the database.
[WARNING] 2025-06-10 07:47:20,421 - [!] Geolocation error for 192.168.0.18 or 35.167.148.155: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:20,422 - [!] Geolocation error for 35.167.148.155 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:20,771 - [!] Geolocation error for 192.168.0.18 or 146.75.94.217: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:20,771 - [!] Geolocation error for 146.75.94.217 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:20,775 - [!] Geolocation error for 192.168.0.18 or 52.43.70.138: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:20,776 - [!] Geolocation error for 52.43.70.138 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,605 - [!] Geolocation error for 192.168.0.18 or 38.248.91.213: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,606 - [!] Geolocation error for 192.168.0.18 or 52.38.239.33: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,607 - [!] Geolocation error for 52.38.239.33 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,607 - [!] Geolocation error for 38.248.91.213 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,609 - [!] Geolocation error for 192.168.0.18 or 52.205.196.148: The address 192.168.0.18 is not in the database.
